HDI rank,Country,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita
1,Switzerland,VERY HIGH ,0.962,84.0,16.5,13.9,66933.0
2,Norway,VERY HIGH ,0.961,83.2,18.2,13.0,64660.0
3,Iceland,VERY HIGH ,0.959,82.7,19.2,13.8,55782.0
4,"Hong Kong, China (SAR)",VERY HIGH ,0.952,85.5,17.3,12.2,62607.0
5,Australia,VERY HIGH ,0.951,84.5,21.1,12.7,49238.0
6,Denmark,VERY HIGH ,0.948,81.4,18.7,13.0,60365.0
7,Sweden,VERY HIGH ,0.947,83.0,19.4,12.6,54489.0
8,Ireland,VERY HIGH ,0.945,82.0,18.9,11.6,76169.0
9,Germany,VERY HIGH ,0.942,80.6,17.0,14.1,54534.0
10,Netherlands,VERY HIGH ,0.941,81.7,18.7,12.6,55979.0
11,Finland,VERY HIGH ,0.94,82.0,19.1,12.9,49452.0
12,Singapore,VERY HIGH ,0.939,82.8,16.5,11.9,90919.0
13,Belgium,VERY HIGH ,0.937,81.9,19.6,12.4,52293.0
13,New Zealand,VERY HIGH ,0.937,82.5,20.3,12.9,44057.0
15,Canada,VERY HIGH ,0.936,82.7,16.4,13.8,46808.0
16,Liechtenstein,VERY HIGH ,0.935,83.3,15.2,12.5,146830.0
17,Luxembourg,VERY HIGH ,0.93,82.6,14.4,13.0,84649.0
18,United Kingdom,VERY HIGH ,0.929,80.7,17.3,13.4,45225.0
19,Japan,VERY HIGH ,0.925,84.8,15.2,13.4,42274.0
19,Korea (Republic of),VERY HIGH ,0.925,83.7,16.5,12.5,44501.0
21,United States,VERY HIGH ,0.921,77.2,16.3,13.7,64765.0
22,Israel,VERY HIGH ,0.919,82.3,16.1,13.3,41524.0
23,Malta,VERY HIGH ,0.918,83.8,16.8,12.2,38884.0
23,Slovenia,VERY HIGH ,0.918,80.7,17.7,12.8,39746.0
25,Austria,VERY HIGH ,0.916,81.6,16.0,12.3,53619.0
26,United Arab Emirates,VERY HIGH ,0.911,78.7,15.7,12.7,62574.0
27,Spain,VERY HIGH ,0.905,83.0,17.9,10.6,38354.0
28,France,VERY HIGH ,0.903,82.5,15.8,11.6,45937.0
29,Cyprus,VERY HIGH ,0.896,81.2,15.6,12.4,38188.0
30,Italy,VERY HIGH ,0.895,82.9,16.2,10.7,42840.0
31,Estonia,VERY HIGH ,0.89,77.1,15.9,13.5,38048.0
32,Czechia,VERY HIGH ,0.889,77.7,16.2,12.9,38745.0
33,Greece,VERY HIGH ,0.887,80.1,20.0,11.4,29002.0
34,Poland,VERY HIGH ,0.876,76.5,16.0,13.2,33034.0
35,Bahrain,VERY HIGH ,0.875,78.8,16.3,11.0,39497.0
35,Lithuania,VERY HIGH ,0.875,73.7,16.3,13.5,37931.0
35,Saudi Arabia,VERY HIGH ,0.875,76.9,16.1,11.3,46112.0
38,Portugal,VERY HIGH ,0.866,81.0,16.9,9.6,33155.0
39,Latvia,VERY HIGH ,0.863,73.6,16.2,13.3,32803.0
40,Andorra,VERY HIGH ,0.858,80.4,13.3,10.6,51167.0
40,Croatia,VERY HIGH ,0.858,77.6,15.1,12.2,30132.0
42,Chile,VERY HIGH ,0.855,78.9,16.7,10.9,24563.0
42,Qatar,VERY HIGH ,0.855,79.3,12.6,10.0,87134.0
44,San Marino,VERY HIGH ,0.853,80.9,12.3,10.8,52654.0
45,Slovakia,VERY HIGH ,0.848,74.9,14.5,12.9,30690.0
46,Hungary,VERY HIGH ,0.846,74.5,15.0,12.2,32789.0
47,Argentina,VERY HIGH ,0.842,75.4,17.9,11.1,20925.0
48,Türkiye,VERY HIGH ,0.838,76.0,18.3,8.6,31033.0
49,Montenegro,VERY HIGH ,0.832,76.3,15.1,12.2,20839.0
50,Kuwait,VERY HIGH ,0.831,78.7,15.3,7.3,52920.0
51,Brunei Darussalam,VERY HIGH ,0.829,74.6,14.0,9.2,64490.0
52,Russian Federation,VERY HIGH ,0.822,69.4,15.8,12.8,27166.0
53,Romania,VERY HIGH ,0.821,74.2,14.2,11.3,30027.0
54,Oman,VERY HIGH ,0.816,72.5,14.6,11.7,27054.0
55,Bahamas,VERY HIGH ,0.812,71.6,12.9,12.6,30486.0
